State,Number of CoCs,"Overall Homeless, 2007","Sheltered ES Homeless, 2007","Sheltered TH Homeless, 2007","Sheltered Total Homeless, 2007","Unsheltered Homeless, 2007","Overall Homeless Individuals, 2007","Sheltered ES Homeless Individuals, 2007","Sheltered TH Homeless Individuals, 2007","Sheltered Total Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Overall Homeless People in Families, 2007","Sheltered ES Homeless People in Families, 2007","Sheltered TH Homeless People in Families, 2007","Sheltered Total Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Overall Homeless Family Households, 2007","Sheltered ES Homeless Family Households, 2007","Sheltered TH Homeless Family Households, 2007","Sheltered Total Homeless Family Households, 2007","Unsheltered Homeless Family Households, 2007","Overall Chronically Homeless Individuals, 2007","Sheltered Total Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007","Overall Homeless Veterans, 2007","Sheltered Total Homeless Veterans, 2007","Unsheltered Homeless Veterans, 2007"
AK,2,"1,642",898,489,"1,387",255,"1,062",618,273,891,171,580,280,216,496,84,190,95,70,165,25,278,221,57,203,152,51
AL,8,"5,452","1,452","2,344","3,796","1,656","4,184","1,210","1,613","2,823","1,361","1,268",242,731,973,295,466,96,251,347,119,993,483,510,974,745,229
AR,9,"3,836","1,251","1,034","2,285","1,551","2,987",985,781,"1,766","1,221",849,266,253,519,330,324,97,87,184,140,852,409,443,287,255,32
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,"14,646","3,934","4,684","8,618","6,028","10,020","2,412","2,011","4,423","5,597","4,626","1,522","2,673","4,195",431,"1,459",463,828,"1,291",168,"2,804",650,"2,154",869,858,11
CA,42,"138,986","23,920","24,591","48,511","90,475","110,952","17,096","13,401","30,497","80,455","28,034","6,824","11,190","18,014","10,020","8,733","2,265","3,530","5,795","2,938","40,341","5,950","34,391","16,701","5,827","10,874"
CO,3,"14,225","3,630","3,341","6,971","7,254","6,844","2,158",896,"3,054","3,790","7,381","1,472","2,445","3,917","3,464","2,704",584,848,"1,432","1,272","2,050",404,"1,646","1,541",931,610
CT,12,"4,482","2,262","1,409","3,671",811,"3,173","1,631",825,"2,456",717,"1,309",631,584,"1,215",94,442,211,193,404,38,"1,023",596,427,436,330,106
DC,1,"5,320","3,248","1,732","4,980",340,"3,717","2,455",922,"3,377",340,"1,603",793,810,"1,603",0,507,246,261,507,0,"1,760","1,439",321,524,487,37
DE,1,"1,061",439,415,854,207,716,283,247,530,186,345,156,168,324,21,119,56,55,111,8,150,76,74,204,142,62
FL,27,"48,069","8,988","11,541","20,529","27,540","33,040","5,367","7,405","12,772","20,268","15,029","3,621","4,136","7,757","7,272","5,618","1,412","1,371","2,783","2,835","7,463","1,842","5,621","5,841","2,658","3,183"
GA,7,"19,639","4,267","4,074","8,341","11,298","12,521","3,351","2,392","5,743","6,778","7,118",916,"1,682","2,598","4,520","2,177",352,513,865,"1,312","2,484","1,108","1,376","2,243","1,929",314
GU,1,725,33,70,103,622,254,14,39,53,201,471,19,31,50,421,120,5,9,14,106,0,0,0,0,0,0
HI,2,"6,070","1,039","1,673","2,712","3,358","3,335",654,446,"1,100","2,235","2,735",385,"1,227","1,612","1,123",734,115,329,444,290,778,132,646,223,223,0
IA,3,"2,734",852,"1,589","2,441",293,"1,504",615,639,"1,254",250,"1,230",237,950,"1,187",43,427,83,325,408,19,307,225,82,162,155,7
ID,2,"1,749",586,539,"1,125",624,"1,102",440,173,613,489,647,146,366,512,135,210,55,120,175,35,95,37,58,102,34,68
IL,21,"15,487","5,913","6,258","12,171","3,316","8,653","3,994","1,988","5,982","2,671","6,834","1,919","4,270","6,189",645,"2,273",600,"1,446","2,046",227,"2,681","1,434","1,247","1,330",945,385
IN,3,"7,358","2,871","3,225","6,096","1,262","4,734","1,898","1,726","3,624","1,110","2,624",973,"1,499","2,472",152,863,338,484,822,41,694,450,244,516,502,14
KS,6,"2,111","1,172",657,"1,829",282,"1,208",668,335,"1,003",205,903,504,322,826,77,281,157,102,259,22,159,117,42,296,285,11
KY,3,"8,061","2,666","3,274","5,940","2,121","3,890","1,857","1,077","2,934",956,"4,171",809,"2,197","3,006","1,165","1,367",241,785,"1,026",341,574,351,223,482,407,75
LA,9,"5,494","1,388","2,529","3,917","1,577","2,973",776,"1,379","2,155",818,"2,521",612,"1,150","1,762",759,832,209,391,600,232,562,226,336,408,315,93
MA,21,"15,127","7,311","6,402","13,713","1,414","8,292","3,583","3,596","7,179","1,113","6,835","3,728","2,806","6,534",301,"2,468","1,321","1,030","2,351",117,"2,790","2,056",734,"1,252","1,217",35
MD,16,"9,628","3,564","2,854","6,418","3,210","5,052","2,116","1,417","3,533","1,519","4,576","1,448","1,437","2,885","1,691","1,415",451,463,914,501,"1,550",749,801,572,541,31
ME,3,"2,638",664,"1,912","2,576",62,"1,136",451,637,"1,088",48,"1,502",213,"1,275","1,488",14,502,74,423,497,5,97,67,30,119,117,2
MI,24,"28,295","7,325","4,227","11,552","16,743","17,553","4,792","2,175","6,967","10,586","10,742","2,533","2,052","4,585","6,157","3,056",840,690,"1,530","1,526","2,716",927,"1,789",876,749,127
MN,13,"7,323","2,899","2,979","5,878","1,445","3,269","1,343",838,"2,181","1,088","4,054","1,556","2,141","3,697",357,"2,411",469,"1,832","2,301",110,"1,414",967,447,551,443,108
MO,9,"6,247","2,969","2,168","5,137","1,110","3,336","1,657",904,"2,561",775,"2,911","1,312","1,264","2,576",335,972,442,392,834,138,"1,221",917,304,416,394,22
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,"1,377",303,548,851,526,"1,115",217,376,593,522,262,86,172,258,4,76,24,50,74,2,593,169,424,161,158,3
MT,1,"1,150",502,353,855,295,633,270,128,398,235,517,232,225,457,60,166,75,75,150,16,83,35,48,143,83,60
NC,13,"11,802","4,745","3,134","7,879","3,923","8,391","3,437","1,956","5,393","2,998","3,411","1,308","1,178","2,486",925,"1,199",433,389,822,377,"1,645",846,799,992,827,165
ND,1,636,405,172,577,59,403,252,127,379,24,233,153,45,198,35,70,45,16,61,9,80,71,9,67,62,5
NE,7,"3,531","1,798","1,209","3,007",524,"2,172","1,165",572,"1,737",435,"1,359",633,637,"1,270",89,515,245,246,491,24,785,486,299,165,151,14
NH,3,"2,248",725,548,"1,273",975,"1,255",472,179,651,604,993,253,369,622,371,380,104,132,236,144,367,263,104,111,60,51
NJ,21,"17,314","10,095","4,741","14,836","2,478","8,972","5,233","1,801","7,034","1,938","8,342","4,862","2,940","7,802",540,"3,201","1,861","1,162","3,023",178,"2,525","1,582",943,618,499,119
NM,2,"3,015",958,790,"1,748","1,267","1,861",743,320,"1,063",798,"1,154",215,470,685,469,367,72,154,226,141,711,245,466,163,163,0
NV,3,"8,642","1,528","3,290","4,818","3,824","6,477","1,353","2,286","3,639","2,838","2,165",175,"1,004","1,179",986,700,68,305,373,327,871,191,680,"1,623",903,720
NY,32,"62,601","44,686","12,595","57,281","5,320","28,056","15,612","7,295","22,907","5,149","34,545","29,074","5,300","34,374",171,"11,245","9,484","1,708","11,192",53,"6,476","2,413","4,063","4,742","4,732",10
OH,9,"11,264","5,695","3,685","9,380","1,884","6,870","3,858","1,734","5,592","1,278","4,394","1,837","1,951","3,788",606,"1,622",708,684,"1,392",230,"2,308","1,601",707,"1,062",981,81
